"원인별","기간별",2022,2023,2024
"합계","금년",756,596,279
"합계","10년평균",536.8,566.8,546.0
"입산자실화","금년",253,170,49
"입산자실화","10년평균",178.3,186.2,171.3
"논·밭두렁소각","금년",44,56,24
"논·밭두렁소각","10년평균",69.8,67.7,60.3
"쓰레기소각","금년",59,73,28
"쓰레기소각","10년평균",68.3,71.5,67.5
"담뱃불실화","금년",53,56,36
"담뱃불실화","10년평균",30.4,33.8,34.8
"성묘객실화","금년",14,23,6
"성묘객실화","10년평균",16.2,17.6,17.3
"어린이불장난","금년",-,1,1
"어린이불장난","10년평균",2.1,1.8,1.7
"건축물화재","금년",51,41,14
"건축물화재","10년평균",30.0,33.6,34.1
"기타","금년",282,176,121
"기타","10년평균",141.7,154.6,158.5
